,name,nick_name,fight_record,height,weight,reach,stance,DOB
24,Jocelyn Jones-Lybarger,,6-4-0,"5' 7""",115 lbs.,"64""",Orthodox,"Oct 04, 1985"
25,Walt Harris,The Big Ticket,12-7-0,"6' 5""",250 lbs.,"77""",Southpaw,"Jun 10, 1983"
26,Eddy Ellis,Fast,16-15-1 (1 NC),"5' 9""",170 lbs.,--,Orthodox,--
27,Nate Diaz,,20-11-0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985"
28,Alexander Munoz,,4-0-0,"5' 9""",155 lbs.,--,Switch,"Feb 27, 1990"
29,Stefan Leko,Blitz,0-3-0,"6' 2""",215 lbs.,--,Orthodox,"Jun 03, 1974"
30,Dustin West,,4-4-0,"5' 11""",170 lbs.,--,,--
31,Simeon Thoresen,The Grin,17-4-1,"6' 1""",170 lbs.,"79""",Orthodox,"Mar 14, 1984"
32,Steve Vigneault,Lionheart,12-6-0,"5' 10""",185 lbs.,--,Orthodox,"Feb 14, 1978"
33,Yaotzin Meza,,21-11-0 (1 NC),"5' 9""",145 lbs.,"74""",Orthodox,"Feb 04, 1981"
34,Wesley Correira,Cabbage,19-14-0,"6' 3""",260 lbs.,--,Orthodox,"Nov 11, 1978"
35,Greg McIntyre,,6-4-0,"5' 10""",155 lbs.,--,Orthodox,"Apr 21, 1980"
36,Bronson Mohika,,1-1-0,--,135 lbs.,--,,--
37,Chad Robichaux,Robo,11-2-0,"5' 4""",135 lbs.,--,,"Aug 18, 1975"
38,Ben Jones,Blitzkrieg,4-4-0 (1 NC),--,185 lbs.,--,,--
39,Brandon Magana,,6-2-0,--,170 lbs.,--,Orthodox,--
40,Tatsuya Iwasaki,,0-1-0,"5' 9""",205 lbs.,--,Orthodox,--
41,Royce Gracie,,14-2-3,"6' 1""",175 lbs.,--,Southpaw,"Dec 12, 1966"
42,Devin Johnson,,1-1-1,--,--,--,,--
43,Tecia Torres,The Tiny Tornado,10-3-0,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989"
44,Yuji Hisamatsu,,15-19-6,"5' 10""",185 lbs.,--,,"Sep 18, 1971"
45,Brendan Seguin,,23-17-1,"6' 0""",185 lbs.,--,,"Jul 03, 1976"
46,Blake Bowman,,2-4-0,"6' 2""",170 lbs.,--,,--
47,Jeremy Boczulak,,0-2-0,--,--,--,,--
48,Jason Von Flue,Live Wire,14-12-1,"6' 0""",170 lbs.,--,Orthodox,"Aug 01, 1975"
49,Alejandro Perez,Turbo,22-6-1,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989"
50,Aljamain Sterling,Funk Master,17-3-0,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989"
51,Hiroyuki Takaya,Streetfight Bancho,16-10-1,"5' 6""",139 lbs.,--,Orthodox,"Jun 10, 1977"
52,Trevin Giles,,11-0-0,"6' 0""",185 lbs.,"74""",Orthodox,"Aug 06, 1992"
53,Junior Albini,Baby,14-5-0,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991"
54,Geza Kalman,,4-9-0,"6' 1""",200 lbs.,--,,--
55,James Wilks,Lightning,7-4-0,"6' 1""",170 lbs.,"75""",Orthodox,"May 04, 1978"
56,Edward Faaloloto,,2-3-0,--,155 lbs.,"70""",,"Jul 15, 1984"
57,Aleksei Oleinik,The Boa Constrictor,54-11-1,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977"
58,Jeremy Stephens,Lil' Heathen,28-15-0,"5' 8""",145 lbs.,"71""",Orthodox,"May 25, 1986"
59,Kyle Levinton,,0-3-0,--,--,--,,--
60,Zach Makovsky,Fun Size,19-8-0,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983"
61,Matt Andersen,,14-8-1,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971"
62,Zak Ottow,The Barbarian,17-6-0,"5' 11""",170 lbs.,"72""",Orthodox,"Dec 22, 1986"
63,Yusuke Kasuya,,9-3-2,"5' 7""",155 lbs.,"67""",Southpaw,"Nov 16, 1989"
64,LC Davis,,17-4-0,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980"
65,Hidehiko Yoshida,,9-8-1,"5' 11""",225 lbs.,--,Orthodox,"Sep 03, 1969"
66,Chris de la Rocha,,5-3-0,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979"
67,Eldari Kurtanidze,,0-1-0,"5' 6""",235 lbs.,--,Orthodox,"Apr 16, 1972"
68,Renzo Gracie,,14-6-1 (1 NC),"5' 10""",185 lbs.,--,Orthodox,"Mar 11, 1967"
69,Augusto Sakai,,12-1-1,"6' 4""",265 lbs.,--,Orthodox,"May 09, 1991"
70,Clay Guida,The Carpenter,34-15-0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981"
71,Thiago Tavares,,24-7-1,"5' 7""",145 lbs.,"68""",Orthodox,"Nov 08, 1984"
72,Mike Swick,Quick,15-6-0,"6' 1""",170 lbs.,"77""",Orthodox,"Jun 19, 1979"
73,Erik Apple,,10-3-0,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977"
74,Pearl Gonzalez,,6-3-0,"5' 4""",115 lbs.,"68""",Orthodox,"Aug 12, 1986"
75,Gabriel Miglioli,Biel,9-9-0,"5' 8""",170 lbs.,--,,--
76,Brady Fink,,2-3-0,"6' 0""",183 lbs.,--,Orthodox,--
77,Eldo Xavier Dias,,0-1-0,"5' 11""",180 lbs.,--,,"Jul 16, 1964"
78,Chris Camozzi,,24-13-0,"6' 2""",185 lbs.,"76""",Orthodox,"Nov 20, 1986"
79,Yves Edwards,,42-22-1 (1 NC),"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976"
80,Devin Powell,,9-4-0,"6' 0""",155 lbs.,"73""",Orthodox,"Mar 01, 1988"
81,Mack Brewer,,0-1-0,--,205 lbs.,--,,--
82,Dustin Poirier,The Diamond,24-5-0 (1 NC),"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989"
83,Blas Avena,The Disciple,7-6-0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983"
84,Luke Stewart,,6-3-0,"5' 11""",170 lbs.,--,Orthodox,--
85,Ji Yeon Kim,Firefist,8-2-2,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989"
86,Justin Patterson,The Tactician,9-3-0,"5' 10""",170 lbs.,--,,"Dec 07, 1985"
87,Daniel Kelly,,13-4-0,"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977"
88,Dmitri Stepanov,,0-1-0,"6' 3""",217 lbs.,--,Orthodox,--
89,Su Mudaerji,Sulamu,10-4-0,"5' 8""",135 lbs.,"72""",Southpaw,"Jan 20, 1996"
90,Lloyd Van Dams,,0-1-0,"6' 1""",240 lbs.,--,Southpaw,"Mar 05, 1972"
91,Eddie Sanchez,The Manic Hispanic,13-5-0,"6' 2""",230 lbs.,"74""",Orthodox,"Nov 04, 1982"
92,Joby Sanchez,,11-4-0,"5' 6""",135 lbs.,"68""",Orthodox,"Jun 24, 1991"
93,Jeremiah Metcalf,,13-7-0,"6' 1""",185 lbs.,--,Orthodox,--
94,Zach Underwood,,8-4-0,"6' 2""",185 lbs.,--,,--
95,Ricardo Funch,Golden Boy,8-4-0,"5' 10""",170 lbs.,"76""",Southpaw,"Aug 14, 1980"
96,Kevin Haley,The North Woods Nightmare,6-4-0,"6' 2""",205 lbs.,--,,--
97,Steve Bruno,Hollywood,14-5-0,"5' 10""",170 lbs.,--,Orthodox,"Nov 03, 1981"
98,Travis Browne,Hapa,18-7-1,"6' 6""",255 lbs.,"79""",Orthodox,"Jul 17, 1982"
99,Christina Marks,,8-9-0,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985"
100,Luke Cummo,,6-6-0,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 27, 1980"
101,Nick Nolte,,5-3-0,"6' 0""",170 lbs.,--,,--
102,Bendy Casimir,,19-11-2,"5' 5""",145 lbs.,--,Southpaw,"Jun 10, 1980"
103,Homer Moore,The Rock,25-9-2,"5' 10""",205 lbs.,--,Orthodox,"Nov 27, 1971"
104,Joao Pierini,,4-1-0,"6' 1""",155 lbs.,--,Switch,"Dec 11, 1971"
105,Wesley Little,,4-6-0,"6' 4""",205 lbs.,--,,--
106,Anthony Hernandez,Fluffy,7-1-0,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993"
107,Omari Akhmedov,Wolverine,17-4-1,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987"
108,Ulysses Gomez,Useless,9-4-0,"5' 6""",125 lbs.,"66""",Orthodox,"May 25, 1983"
109,Chidi Njokuani,Chidi Bang Bang,17-4-0 (1 NC),"6' 3""",170 lbs.,--,,"Dec 31, 1988"
110,Ron Waterman,H20,16-6-2,"6' 2""",280 lbs.,--,Orthodox,"Nov 23, 1965"
111,Raou Raou,,0-1-0,"5' 8""",195 lbs.,--,Orthodox,--
112,Kurt Holobaugh,,17-6-0 (1 NC),"5' 11""",145 lbs.,"73""",Orthodox,"Sep 08, 1986"
113,Pascal Krauss,Panzer,11-2-0,"6' 1""",170 lbs.,"72""",Orthodox,"Apr 19, 1987"
114,Marina Rodriguez,,10-0-1,"5' 7""",115 lbs.,"67""",Orthodox,"Apr 29, 1987"
115,Ryan Couture,,7-3-0,"5' 10""",155 lbs.,"75""",Orthodox,"Aug 27, 1982"
116,Hidetaka Monma,,17-10-4,"6' 0""",168 lbs.,--,Orthodox,"Oct 23, 1973"
117,Lina Kvokov,,0-3-0,"5' 9""",135 lbs.,--,Orthodox,--
118,Roman Mitichyan,,7-3-0,"5' 10""",170 lbs.,--,Orthodox,"Sep 04, 1978"
119,Nikk Covert,The Brick,3-4-0,"5' 8""",185 lbs.,--,,"Aug 04, 1969"
120,Aaron Ely,The Cyborg,5-2-0,"5' 8""",135 lbs.,--,,"Mar 18, 1989"
121,Terry Etim,,15-5-0,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986"
122,Ben Nguyen,Ten,17-8-0,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988"
123,Yoji Anjo,Mr. 200%,0-5-1,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967"
124,Travis Fulton,The Ironman,127-49-10 (1 NC),"6' 0""",240 lbs.,--,Orthodox,"May 29, 1977"
125,Jeremy Hamilton,Hawk,8-1-0,--,185 lbs.,--,,"Nov 14, 1984"
126,Cody Stamann,The Spartan,17-2-0,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989"
127,Dmitry Poberezhets,,24-5-1 (1 NC),"6' 3""",237 lbs.,--,,"Jun 11, 1985"
128,Taylor Roberts,,3-7-0,"5' 11""",170 lbs.,--,,--
129,Zelg Galesic,Benkei,10-6-0,"6' 2""",185 lbs.,--,Orthodox,"Feb 16, 1979"
130,Chris Holdsworth,Holds it Down,7-0-0,"5' 11""",135 lbs.,"71""",,"Oct 24, 1987"
131,Curtis Millender,Curtious,17-3-0,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 01, 1987"
132,Cody Sons,,3-7-0,"5' 9""",205 lbs.,--,,--
133,Gilbert Jimenez,,8-12-1 (1 NC),--,155 lbs.,--,,--
134,Nordine Taleb,,14-6-0,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981"
135,Tor Troeng,The Hammer,16-7-1,"6' 2""",185 lbs.,"77""",Orthodox,"Jan 25, 1983"
136,Luke Flores,Luke,7-1-0,"6' 0""",155 lbs.,--,Southpaw,"Mar 17, 1988"
137,Torrance Taylor,,10-7-1,"5' 7""",155 lbs.,--,,--
138,Tadao Yasuda,,2-4-0,"6' 4""",310 lbs.,--,Orthodox,"Oct 09, 1963"
139,Antonio Carvalho,Pato,15-6-0,"5' 9""",145 lbs.,"68""",Orthodox,"May 30, 1979"
140,Justin Martin,,4-3-0,"6' 0""",185 lbs.,--,,--
141,Cynthia Calvillo,,8-1-0,"5' 4""",115 lbs.,"64""",Orthodox,"Jul 13, 1987"
142,Michael McBride,,8-3-0,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 09, 1986"
143,Galore Bofando,,5-3-0,"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982"
144,Diego Ferreira,,14-2-0,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985"
145,Carls John De Tomas,CJ,8-2-0,"5' 5""",125 lbs.,"71""",Southpaw,"Aug 28, 1996"
146,Terry Martin,,22-9-0,"5' 8""",185 lbs.,"71""",Orthodox,"Oct 10, 1980"
147,Adriano Martins,,28-9-0,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982"
148,Pete Rogers Jr.,The Heat,2-4-0,"6' 0""",145 lbs.,--,,--
149,Junior Hernandez,Hot Handed,14-6-0,"5' 9""",135 lbs.,"69""",Orthodox,"Jul 22, 1986"
150,Josh Shockley,,11-4-0,"6' 1""",155 lbs.,"74""",Orthodox,"Nov 15, 1989"
151,Jeff Monson,The Snowman,43-12-1,"5' 9""",247 lbs.,"74""",Orthodox,"Jan 18, 1971"
152,Andre Gusmao,,6-3-0,"6' 0""",205 lbs.,--,Orthodox,"May 19, 1977"
153,Kyle Dietz,,5-2-0,"5' 8""",135 lbs.,--,Orthodox,"Apr 29, 1986"
154,Dan Moret,The Hitman,13-4-0,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986"
155,Brendan Schaub,Big Brown,11-5-0,"6' 4""",245 lbs.,"78""",Orthodox,"Mar 18, 1983"
156,John Cofer,The Potter,7-4-0,"5' 9""",155 lbs.,"73""",Southpaw,"Apr 29, 1984"
157,Nik Theotikos,,6-2-0,--,185 lbs.,--,Orthodox,--
158,Reuben Duran,,8-5-1,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 02, 1983"
159,Gabe Lemley,,13-9-0,"5' 8""",155 lbs.,--,Orthodox,--
160,Jeremy Larsen,,8-5-0 (1 NC),"5' 10""",145 lbs.,"70""",Orthodox,"May 18, 1984"
161,Mike Kyle,MAK,19-9-1 (2 NC),"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980"
162,Sage Northcutt,Super,11-2-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 01, 1996"
163,Lauren Mueller,Princess Tiger,5-1-0,"5' 5""",125 lbs.,"67""",Orthodox,"Nov 15, 1991"
164,Danillo Villefort,Indio,13-4-0,"6' 1""",185 lbs.,--,Orthodox,"May 08, 1983"
165,Veronica Macedo,,5-2-1,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995"
166,Kevin Souza,Kevin,19-4-0,"6' 0""",145 lbs.,"74""",Orthodox,"Oct 17, 1984"
167,Frank Camacho,The Crank,21-7-0,"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989"
168,John Gunther,The Machine,7-2-0,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 24, 1985"
169,Luiz Azeredo,,15-10-0,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976"
170,Brad Kohler,,11-14-0,"5' 9""",220 lbs.,--,Orthodox,"May 26, 1964"
171,Seth Dikun,,7-4-0,"5' 10""",135 lbs.,"69""",Orthodox,"Aug 05, 1980"
172,Amador Ramirez,,5-4-0,--,135 lbs.,--,,"Jun 14, 1990"
173,Daniel Acacio,,26-12-0,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977"
174,Teruto Ishihara,Yashabo,11-7-2,"5' 7""",135 lbs.,"69""",Southpaw,"Jul 23, 1991"
175,Hiroshi Izumi,,4-2-0,--,205 lbs.,--,Orthodox,"Jun 22, 1982"
176,Sheila Gaff,The German Tank,10-6-1,"5' 5""",135 lbs.,"62""",Orthodox,"Dec 29, 1989"
177,Jesse Moreng,Arturo,9-1-0,"5' 7""",145 lbs.,--,Orthodox,"Nov 09, 1979"
178,Sherman Pendergarst,The Tank,11-18-0 (1 NC),"6' 1""",235 lbs.,--,Orthodox,"Aug 01, 1967"
179,Christopher Lopez,,9-1-0 (1 NC),"5' 10""",170 lbs.,--,,"Jan 30, 1986"
180,Soichi Nishida,,5-10-1,"5' 11""",320 lbs.,--,Orthodox,--
181,Julian Erosa,Juicy J,22-7-0,"6' 1""",155 lbs.,"75""",Southpaw,"Jul 31, 1989"
182,Brian Bowles,,10-3-0,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980"
183,Tim Sylvia,The Maine-iac,30-7-0 (1 NC),"6' 8""",265 lbs.,"80""",Orthodox,"Mar 05, 1976"
184,Justin Buchholz,,12-6-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983"
185,Royce Alger,,3-2-0,"5' 10""",199 lbs.,--,Orthodox,--
186,Tom Lawlor,Filthy,10-6-0 (1 NC),"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983"
187,Artur Oumakhanov,,9-6-0,"5' 7""",154 lbs.,--,Orthodox,"Feb 27, 1979"
188,Maki Pitolo,Coconut Bombz,10-4-0,"5' 10""",185 lbs.,"72""",Orthodox,"Nov 24, 1990"
189,Devin Cole,,21-9-1,"6' 4""",240 lbs.,--,Orthodox,"Oct 01, 1976"
190,Yuki Kondo,,53-26-8,"5' 11""",183 lbs.,--,Southpaw,"Jul 17, 1975"
191,Klayton Mai,,8-3-0,"5' 9""",125 lbs.,--,,"Nov 30, 1986"
192,Ricardo Romero,,11-3-0,"6' 0""",205 lbs.,"76""",Orthodox,"Apr 15, 1978"
193,Marloes Coenen,,21-5-0,"5' 9""",145 lbs.,"67""",,"Mar 31, 1981"
194,Marcus Aurelio,Maximus,21-10-0,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973"
195,Josh Clopton,The Gentleman,6-2-1,"5' 6""",145 lbs.,"68""",Orthodox,"Jul 11, 1981"
196,Bethe Correia,Pitbull,10-3-1,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983"
197,Jordan Wright,The Beverly Hills Ninja,9-0-0 (1 NC),"6' 2""",185 lbs.,"77""",Orthodox,"Oct 07, 1991"
198,Glaico Franca,Nego,14-5-0,"6' 0""",155 lbs.,"77""",,"Feb 28, 1991"
199,Donavon Frelow,,6-3-0,"5' 7""",135 lbs.,--,Orthodox,"Jan 20, 1985"
200,Vitaly Minakov,,20-0-0,"6' 2""",249 lbs.,--,,"Feb 06, 1985"
201,Ruben Villareal,Warpath,19-23-3,"6' 4""",265 lbs.,--,Orthodox,"May 01, 1970"
202,Kemran Lachinov,,3-2-0,--,170 lbs.,--,,--
203,Mike Guymon,The Joker,12-5-1,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974"
204,Maurice Smith,,12-13-0,"6' 2""",221 lbs.,--,Orthodox,"Dec 13, 1961"
205,Ricardo Palacios,El Gallero,9-1-0,"5' 6""",145 lbs.,--,Orthodox,"Jul 05, 1987"
206,Nad Narimani,Smiler,12-2-0,"5' 8""",145 lbs.,"70""",Orthodox,"Apr 14, 1987"
207,Rafael Feijao,Feijao,12-7-0 (1 NC),"6' 1""",205 lbs.,"73""",Orthodox,"Apr 14, 1980"
208,Aisling Daly,Ais the Bash,16-6-0,"5' 2""",115 lbs.,"64""",,"Dec 24, 1987"
209,Scott Norton,Hollywood,7-1-0,"5' 10""",170 lbs.,--,Orthodox,"Mar 15, 1973"
210,Marc Diakiese,Bonecrusher,12-3-0,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993"
211,Lucas Stark,,2-5-0,--,155 lbs.,--,,--
212,Bryan Caraway,Kid Lightning,21-10-0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984"
213,Michel Prazeres,Tractor,26-2-0,"5' 6""",170 lbs.,"67""",Orthodox,"Jul 25, 1981"
214,Pat Audinwood,Awesomely Awesome,9-2-1,"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986"
215,Jalin Turner,The Tarantula,8-4-0,"6' 3""",155 lbs.,"77""",Southpaw,"May 18, 1995"
216,Tai Tuivasa,Bam Bam,10-1-0,"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993"
217,Alan Jouban,Brahma,16-6-0,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981"
218,Paul Taylor,Relentless,11-6-1 (1 NC),"6' 0""",155 lbs.,"72""",Orthodox,"Dec 15, 1979"
219,Michael Diaz,,1-3-0,--,260 lbs.,--,,--
220,Karine Gevorgyan,The Princess,3-3-0,"5' 4""",125 lbs.,"63""",,"Mar 09, 1989"
221,Jake Lindsey,The Librarian,9-3-0,"5' 11""",155 lbs.,"71""",Switch,"Jun 21, 1986"
222,Eiji Ishikawa,,22-17-3,"5' 10""",170 lbs.,--,,"Oct 12, 1979"
223,Jack Nilson,,2-6-0,--,--,--,,--
224,David Abbott,Tank,10-14-0,"6' 0""",265 lbs.,--,Switch,--
225,Brian Ebersole,Bad Boy,51-17-1 (1 NC),"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980"
226,Milton Vieira,Miltinho,13-8-2,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 04, 1978"
227,Leonard Garcia,Bad Boy,19-11-1,"5' 10""",145 lbs.,"69""",Orthodox,"Jul 14, 1979"
228,Rubin Williams,Mr. Hollywood,0-1-0,"6' 1""",185 lbs.,--,Orthodox,"Apr 09, 1976"
229,James Head,,9-4-0,"6' 1""",170 lbs.,"73""",Orthodox,"Feb 09, 1984"
230,Larissa Pacheco,,10-2-0,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 07, 1994"
231,Min Soo Kim,,3-7-0,"6' 1""",255 lbs.,--,Southpaw,"Jan 22, 1975"
232,Robert Lucarelli,,0-1-0,"6' 2""",245 lbs.,--,,--
233,Forrest Petz,The Meat Cleaver,24-9-0,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1975"
234,Yohan Banks,,2-1-0,--,--,--,,--
235,Johny Hendricks,Bigg Rigg,18-8-0,"5' 9""",185 lbs.,"69""",Southpaw,"Sep 12, 1983"
236,Carlton Jones,,1-4-0,"6' 1""",225 lbs.,--,Orthodox,--
237,Raphael Butler,The Silencer,9-2-1,"6' 3""",261 lbs.,--,,"Jan 04, 1984"
238,Brock Larson,,33-6-0,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977"
239,Dustin Moore,,0-2-0,"5' 4""",125 lbs.,--,,--
240,Garrett Mueller,,3-3-0,"5' 9""",135 lbs.,--,,"Jan 29, 1989"
241,Filip Pejic,Nitro,10-2-1,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 21, 1992"
242,Jesse Fujarczyk,The Ronin,3-2-0,"6' 4""",225 lbs.,--,Southpaw,"Jan 28, 1983"
243,Tomomi Iwama,,9-5-1,"5' 3""",155 lbs.,--,Orthodox,--
244,Krzysztof Jotko,,19-4-0,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989"
245,Leo Kuntz,The Lion,17-3-1,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 03, 1983"
246,Mike Nickels,,9-5-0,"6' 4""",205 lbs.,--,Orthodox,"Dec 13, 1971"
247,Mike Aina,Iron,12-6-1 (1 NC),"5' 9""",155 lbs.,--,Orthodox,--
248,Jacob Kilburn,The Killer,6-1-0,"5' 9""",145 lbs.,"71""",Orthodox,"Jun 28, 1995"
249,Joe Vedepo,The Doctor,11-5-0,"6' 0""",185 lbs.,--,Orthodox,--
250,Nick Garcia,Nitro,8-3-0 (1 NC),"5' 4""",125 lbs.,--,,--
251,Dan Miller,,14-8-0 (1 NC),"6' 1""",185 lbs.,"74""",Orthodox,"Jun 30, 1981"
252,Nobuhiko Takada,,2-6-2,"6' 0""",220 lbs.,--,Southpaw,"Apr 12, 1962"
253,Justin Willis,Big Pretty,8-1-0,"6' 1""",264 lbs.,"78""",Southpaw,"Jul 19, 1987"
254,Paulo Costa,The Eraser,12-0-0,"6' 1""",185 lbs.,"72""",,"Apr 21, 1991"
255,Dustin Jacoby,,6-3-0,"6' 4""",185 lbs.,"78""",Orthodox,"Apr 04, 1988"
256,Viscardi Andrade,,19-7-0,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984"
257,Jae Suk Lim,,15-5-0,"5' 9""",170 lbs.,--,Orthodox,"Nov 09, 1979"
258,Paul Jones,,11-1-1,"5' 9""",199 lbs.,--,Orthodox,"Jun 16, 1963"
259,Colin Robinson,Big C,9-10-0,"6' 4""",243 lbs.,--,Orthodox,"Nov 27, 1968"
260,Victor Jones,,1-3-0,--,145 lbs.,--,,--
261,Charles Bennett,Krazy Horse,25-23-2,"5' 8""",155 lbs.,--,Orthodox,"Nov 23, 1979"
262,Oscar Cota,Elevation,10-1-0 (1 NC),"6' 2""",230 lbs.,--,Orthodox,"Oct 15, 1984"
263,Tim Boetsch,The Barbarian,21-12-0,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981"
264,Takanori Gomi,The Fireball Kid,35-14-0 (1 NC),"5' 7""",155 lbs.,"70""",Southpaw,"Sep 22, 1978"
265,Paul Sass,,13-2-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 04, 1988"
266,Jacob Volkmann,Christmas,15-4-0,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 05, 1980"
