,fighter_1,fighter_2,end_round,end_time,winner,url,date,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
2340,"Carlos Condit ""The Natural Born Killer""","Tyron Woodley ""The Chosen One""",2,2:00,"Carlos Condit ""The Natural Born Killer""",http://ufcstats.com/fight-details/ba38b96f39db78c0,2014-03-15,0,8,29,29,51,0,0,1,0,0,4,22,2,3,2,4,5,25,3,4,0,0,0,11,23,18,30,2,2,0,0,0,4,22,2,3,2,4,5,25,3,4,0,0,0,8,29,29,51,0,0,1,0,0,8,18,3,4,0,1,5,14,6,9,0,0,1,3,6,16,19,1,1,0,0,0,2,10,1,2,2,2,5,14,0,0,0,0,0,5,14,23,33,0,0,0,0,0,2,5,0,0,1,1,3,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,"Diego Sanchez ""Nightmare""","Myles Jury ""Fury""",3,5:00,"Diego Sanchez ""Nightmare""",http://ufcstats.com/fight-details/d4d4aded862ace46,2014-03-15,0,9,32,12,35,0,0,0,0,0,3,21,4,7,2,4,5,28,3,3,1,1,0,19,38,25,45,1,1,0,0,0,3,21,4,7,2,4,5,28,3,3,1,1,0,9,32,12,35,0,0,0,0,0,13,31,2,3,4,4,16,35,1,1,2,2,0,19,44,20,45,1,1,0,0,0,3,25,2,2,1,2,6,29,0,0,0,0,0,6,29,6,29,0,0,1,0,0,17,40,0,1,2,3,16,41,1,1,2,2,0,8,37,9,39,1,1,0,0,0,4,18,6,12,0,2,10,32,0,0,0,0,0,10,32,19,41,0,0,1,0,0,5,33,1,2,2,2,8,35,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342,Jake Shields,Hector Lombard,3,5:00,Jake Shields,http://ufcstats.com/fight-details/427a10db0406cfba,2014-03-15,0,1,23,29,51,0,3,0,0,0,1,18,0,1,0,4,1,22,0,1,0,0,0,18,33,38,54,2,2,0,0,0,1,18,0,1,0,4,1,22,0,1,0,0,0,1,23,29,51,0,3,0,0,0,17,31,1,2,0,0,5,12,10,14,3,7,0,4,13,12,21,2,2,0,2,0,0,17,1,4,0,3,1,24,0,0,0,0,0,1,24,15,39,0,2,0,0,0,2,11,2,2,0,0,2,11,1,1,1,1,0,5,10,17,23,1,1,0,0,0,1,20,1,2,0,3,2,25,0,0,0,0,0,2,25,14,38,0,2,1,0,0,1,4,3,5,1,1,1,5,0,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343,Ovince Saint Preux,"Nikita Krylov ""The Miner""",1,1:29,Ovince Saint Preux,http://ufcstats.com/fight-details/2d050cb1f7d8789a,2014-03-15,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,4,1,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,Kelvin Gastelum,"Rick Story ""The Horror""",3,5:00,Kelvin Gastelum,http://ufcstats.com/fight-details/56b57d076f874eb0,2014-03-15,0,19,35,20,37,0,0,0,2,0,16,31,1,2,2,2,16,32,1,1,2,2,0,9,42,9,42,0,0,0,0,0,16,31,1,2,2,2,16,32,1,1,2,2,0,19,35,20,37,0,0,0,2,0,4,33,3,7,2,2,9,42,0,0,0,0,1,22,84,22,84,0,0,0,0,0,20,54,0,1,8,8,27,59,1,4,0,0,0,28,63,28,63,0,0,0,0,0,15,71,6,12,1,1,19,76,2,5,1,3,0,14,37,20,44,0,1,0,1,1,9,35,2,3,1,1,7,28,5,11,0,0,0,12,39,14,42,1,2,0,1,1,7,29,3,4,4,4,11,30,3,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,"Raquel Pennington ""Rocky""","Jessica Andrade ""Bate Estaca""",3,5:00,"Raquel Pennington ""Rocky""",http://ufcstats.com/fight-details/99170b2f2496e479,2014-03-15,0,9,15,9,15,0,0,1,0,0,2,7,2,3,5,5,1,6,7,8,1,1,0,3,9,16,25,2,4,0,3,0,2,7,2,3,5,5,1,6,7,8,1,1,0,9,15,9,15,0,0,1,0,0,1,4,1,4,1,1,1,4,1,2,1,3,0,30,73,35,78,1,2,0,0,0,21,57,7,8,5,5,22,55,11,15,0,0,0,33,70,33,70,0,0,1,0,0,22,63,6,8,2,2,21,56,9,17,0,0,0,33,76,39,82,0,2,0,0,0,28,70,9,9,3,3,19,50,15,24,6,8,0,40,82,45,87,2,3,0,0,0,24,66,8,9,1,1,16,44,17,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,"Dennis Bermudez ""The Menace""","Jimy Hettes ""The Kid""",3,2:57,"Dennis Bermudez ""The Menace""",http://ufcstats.com/fight-details/639013929b61e834,2014-03-15,0,23,51,35,68,4,9,1,1,0,12,38,4,6,7,7,9,25,12,22,2,4,0,22,35,24,37,0,3,0,0,0,12,38,4,6,7,7,9,25,12,22,2,4,0,23,51,35,68,4,9,1,1,0,9,20,8,9,5,6,5,14,17,21,0,0,0,7,19,16,37,0,0,0,1,0,9,31,1,3,8,9,2,6,10,19,6,18,1,18,43,29,59,2,6,0,1,0,2,10,5,8,0,1,1,5,6,14,0,0,0,5,10,9,14,0,1,0,0,0,10,27,2,3,2,2,4,13,3,6,7,13,2,14,32,30,53,0,0,0,0,0,5,10,0,0,0,0,4,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,"Sean Spencer ""Black Magic""","Alex Garcia ""The Dominican Nightmare""",3,5:00,"Sean Spencer ""Black Magic""",http://ufcstats.com/fight-details/a5f39e8ff1398269,2014-03-15,0,11,50,13,52,0,0,0,0,0,6,41,2,6,3,3,11,48,0,2,0,0,0,15,49,15,49,3,4,0,1,0,6,41,2,6,3,3,11,48,0,2,0,0,0,11,50,13,52,0,0,0,0,0,12,45,1,2,2,2,12,41,3,8,0,0,1,33,58,37,62,3,4,0,1,0,22,52,2,7,2,2,20,47,6,14,0,0,0,26,61,27,62,0,0,0,0,1,29,54,4,4,0,0,25,46,8,12,0,0,0,13,28,14,31,2,3,0,1,0,14,39,3,6,4,4,18,44,3,5,0,0,0,21,49,22,50,0,0,0,0,0,12,27,0,0,1,1,13,26,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,Renee Forte,"Francisco Trevino ""Sitkayan""",3,5:00,Renee Forte,http://ufcstats.com/fight-details/364ed6aecfc8d16d,2014-03-15,0,3,21,7,28,2,3,0,2,0,3,21,0,0,0,0,2,18,0,2,1,1,0,0,19,8,28,0,1,0,0,0,3,21,0,0,0,0,2,18,0,2,1,1,0,3,21,7,28,2,3,0,2,0,0,11,0,1,0,7,0,18,0,0,0,1,0,22,49,26,53,1,1,0,0,0,3,19,1,4,0,0,4,23,0,0,0,0,0,4,23,6,25,2,3,0,0,0,12,32,4,8,6,9,13,39,5,5,4,5,0,25,48,29,52,1,5,0,0,0,5,21,2,4,0,1,3,15,4,11,0,0,0,7,26,7,26,1,3,0,1,0,17,35,2,6,6,7,13,29,12,18,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,Will Campuzano,Justin Scoggins,3,5:00,Will Campuzano,http://ufcstats.com/fight-details/0175c0d2a98576f1,2014-03-15,0,2,19,9,26,0,0,0,0,0,2,17,0,1,0,1,2,18,0,1,0,0,0,21,36,27,43,3,6,0,3,0,2,17,0,1,0,1,2,18,0,1,0,0,0,2,19,9,26,0,0,0,0,0,12,25,3,5,6,6,15,30,6,6,0,0,0,6,22,10,29,1,1,0,5,0,1,16,0,0,1,3,2,16,0,1,0,2,0,2,19,15,34,0,0,1,0,0,5,19,0,1,1,2,3,16,0,1,3,5,0,34,45,41,55,2,3,0,5,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,4,10,0,0,0,0,0,33,44,1,1,0,0,0,2,0,0,34,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,"Bubba McDaniel ""The Menace""","Sean Strickland ""Tarzan""",1,4:33,"Bubba McDaniel ""The Menace""",http://ufcstats.com/fight-details/8f979d206eaec468,2014-03-15,0,4,10,4,10,1,1,0,0,0,1,5,2,4,1,1,4,10,0,0,0,0,0,20,35,24,39,1,2,1,3,0,1,5,2,4,1,1,4,10,0,0,0,0,0,4,10,4,10,1,1,0,0,0,17,29,2,5,1,1,7,16,2,2,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351,"Daniel Pineda ""The Pit""","Rob Whiteford ""The Hammer""",3,5:00,"Daniel Pineda ""The Pit""",http://ufcstats.com/fight-details/543dca66a449d9d5,2014-03-15,0,8,18,13,23,0,2,0,0,0,2,11,5,6,1,1,7,16,1,2,0,0,0,15,29,26,42,2,6,0,1,0,2,11,5,6,1,1,7,16,1,2,0,0,0,8,18,13,23,0,2,0,0,0,6,16,7,10,2,3,9,19,5,9,1,1,0,9,17,20,30,1,3,0,1,0,3,8,2,2,1,1,6,10,0,1,0,0,0,6,11,11,16,1,2,1,0,0,7,15,1,1,1,1,6,11,1,2,2,4,0,2,4,8,12,2,5,0,2,0,2,6,1,2,7,7,1,5,0,0,9,10,0,10,15,16,21,0,1,2,1,0,1,3,1,1,0,0,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,"Alexander Gustafsson ""The Mauler""","Jimi Manuwa ""Poster Boy""",2,1:18,"Alexander Gustafsson ""The Mauler""",http://ufcstats.com/fight-details/742fcd610f344810,2014-03-08,0,11,20,29,39,1,2,0,1,0,6,14,2,2,3,4,8,16,1,1,2,3,0,7,10,9,12,0,0,0,0,0,6,14,2,2,3,4,8,16,1,1,2,3,0,11,20,29,39,1,2,0,1,0,2,5,1,1,4,4,6,9,1,1,0,0,0,6,13,6,13,0,0,0,0,0,10,22,0,0,0,1,4,15,4,6,2,2,1,10,23,11,24,0,0,0,0,0,2,9,0,0,4,4,6,12,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,"Michael Johnson ""The Menace""","Melvin Guillard ""The Young Assassin""",3,5:00,"Michael Johnson ""The Menace""",http://ufcstats.com/fight-details/73f55778c5c55c2f,2014-03-08,0,18,43,18,44,0,2,0,0,0,4,22,5,10,9,11,15,39,3,4,0,0,0,10,38,10,38,0,1,0,0,0,4,22,5,10,9,11,15,39,3,4,0,0,0,18,43,18,44,0,2,0,0,0,6,28,3,9,1,1,6,34,3,3,1,1,0,6,37,6,37,0,0,0,0,0,3,26,6,15,7,9,14,41,2,9,0,0,0,16,50,17,51,0,1,0,0,0,4,27,1,8,1,2,4,33,2,4,0,0,0,6,28,6,28,0,0,0,0,0,9,45,0,3,5,5,7,36,7,17,0,0,0,14,53,16,58,1,1,0,0,0,5,25,0,2,1,1,3,22,3,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,"Brad Pickett ""One Punch""","Neil Seery ""2Tap""",3,5:00,"Brad Pickett ""One Punch""",http://ufcstats.com/fight-details/b5be58e7fa1e7439,2014-03-08,0,14,32,27,49,1,2,1,2,0,6,24,4,4,4,4,11,26,1,2,2,4,0,8,24,8,24,0,0,0,0,0,6,24,4,4,4,4,11,26,1,2,2,4,0,14,32,27,49,1,2,1,2,0,7,22,1,2,0,0,8,24,0,0,0,0,0,13,39,19,46,0,0,0,0,0,11,43,0,1,9,10,9,33,9,12,2,9,0,20,54,28,62,1,3,0,0,0,11,32,2,7,0,0,11,35,2,4,0,0,0,26,51,27,52,0,1,0,0,0,10,49,3,4,2,2,14,47,1,3,0,5,0,15,55,33,75,2,3,0,2,0,23,46,3,5,0,0,22,43,4,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,"Gunnar Nelson ""Gunni""","Omari Akhmedov ""Wolverine""",1,4:36,"Gunnar Nelson ""Gunni""",http://ufcstats.com/fight-details/0b3c3d363c82835f,2014-03-08,0,16,20,25,32,1,1,1,3,0,15,19,0,0,1,1,2,2,0,0,14,18,0,6,16,8,18,0,0,0,0,0,15,19,0,0,1,1,2,2,0,0,14,18,0,16,20,25,32,1,1,1,3,0,1,9,2,3,3,4,6,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,"Cyrille Diabate ""The Snake""","Ilir Latifi ""The Sledgehammer""",1,3:02,"Cyrille Diabate ""The Snake""",http://ufcstats.com/fight-details/6242126d8d06a7ca,2014-03-08,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,"Luke Barnatt ""The Bigslow""",Mats Nilsson,1,4:24,"Luke Barnatt ""The Bigslow""",http://ufcstats.com/fight-details/406154260435c65a,2014-03-08,0,45,117,45,117,0,0,0,0,0,32,100,10,14,3,3,41,113,4,4,0,0,0,25,56,32,64,0,0,0,0,0,32,100,10,14,3,3,41,113,4,4,0,0,0,45,117,45,117,0,0,0,0,0,15,44,4,5,6,7,25,55,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,"Bradley Scott ""Bear""","Claudio Silva ""Hannibal""",3,5:00,"Bradley Scott ""Bear""",http://ufcstats.com/fight-details/4911fcfb1b28faa5,2014-03-08,0,9,19,12,23,0,0,0,0,0,6,16,2,2,1,1,9,19,0,0,0,0,0,15,24,38,49,2,8,0,3,0,6,16,2,2,1,1,9,19,0,0,0,0,0,9,19,12,23,0,0,0,0,0,6,14,4,4,5,6,13,22,0,0,2,2,0,17,38,19,40,0,3,0,0,0,16,34,9,9,3,3,24,41,4,5,0,0,0,28,46,38,56,0,0,0,0,0,13,31,0,0,4,7,16,34,1,4,0,0,0,4,11,57,69,1,4,0,2,0,4,10,0,0,0,0,4,10,0,0,0,0,0,4,10,11,17,0,0,0,0,0,4,10,0,1,0,0,4,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,Igor Araujo,"Danny Mitchell ""The Cheesecake Assassin""",3,5:00,Igor Araujo,http://ufcstats.com/fight-details/54845ec0646a9bee,2014-03-08,0,3,10,47,57,0,1,0,2,1,0,7,3,3,0,0,0,2,0,0,3,8,0,0,1,9,10,0,0,3,1,0,0,7,3,3,0,0,0,2,0,0,3,8,0,3,10,47,57,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,9,13,14,19,0,0,0,0,0,1,5,1,1,0,0,0,2,1,1,1,3,0,2,6,58,72,0,1,0,2,0,2,6,3,3,4,4,4,8,5,5,0,0,0,9,20,47,73,0,1,2,0,0,6,17,1,3,0,1,2,6,0,0,5,15,0,7,21,33,75,0,1,1,0,0,7,16,1,2,1,2,2,6,0,0,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,"Phil Harris ""Billy""","Louis Gaudinot ""Goodnight""",1,1:13,No Winner,http://ufcstats.com/fight-details/443791a8c6790cf0,2014-03-08,0,3,4,4,5,0,2,0,0,0,2,3,0,0,1,1,2,3,1,1,0,0,0,2,4,7,9,0,0,1,0,0,2,3,0,0,1,1,2,3,1,1,0,0,0,3,4,4,5,0,2,0,0,0,1,3,1,1,0,0,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,"Dong Hyun Kim ""Stun Gun""","John Hathaway ""The Hitman""",3,1:02,"Dong Hyun Kim ""Stun Gun""",http://ufcstats.com/fight-details/e38d7761a92e1bf9,2014-03-01,1,19,55,21,57,0,0,0,0,0,16,52,3,3,0,0,8,26,3,8,8,21,0,10,40,20,53,1,2,0,0,0,16,52,3,3,0,0,8,26,3,8,8,21,1,19,55,21,57,0,0,0,0,0,4,26,4,10,2,4,6,29,2,5,2,6,0,15,46,30,63,0,2,0,0,0,4,19,2,2,0,0,3,12,3,7,0,2,0,6,21,19,34,1,3,0,1,0,8,35,5,9,2,2,8,35,7,11,0,0,0,2,11,2,11,0,2,0,0,0,2,5,0,0,0,0,2,5,0,0,0,0,1,2,5,2,5,0,0,0,0,0,1,8,1,3,0,0,2,10,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,"Sai Wang ""The Fire Kylin""","Zhang Lipeng ""The Warrior""",3,5:00,"Sai Wang ""The Fire Kylin""",http://ufcstats.com/fight-details/0fea1cff62e26b46,2014-03-01,0,16,38,22,44,0,0,0,1,1,7,21,2,6,7,11,12,32,0,0,4,6,0,5,15,7,20,1,1,2,2,0,7,21,2,6,7,11,12,32,0,0,4,6,0,16,38,22,44,0,0,0,1,1,1,8,0,2,4,5,5,15,0,0,0,0,0,2,3,7,9,3,6,0,2,0,5,16,1,2,0,2,0,6,6,11,0,3,0,6,20,22,48,0,0,0,0,1,1,2,0,0,1,1,0,1,1,1,1,1,0,3,7,23,31,0,3,0,0,0,2,10,0,1,7,10,3,8,0,1,6,12,0,9,21,56,80,0,0,0,1,0,2,5,0,1,1,1,3,6,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,Matt Mitrione,"Shawn Jordan ""The Savage""",1,4:59,Matt Mitrione,http://ufcstats.com/fight-details/82448697e7a44028,2014-03-01,1,24,62,25,65,0,0,0,0,0,20,57,1,2,3,3,16,47,8,15,0,0,0,15,46,19,51,0,2,0,0,0,20,57,1,2,3,3,16,47,8,15,0,0,1,24,62,25,65,0,0,0,0,0,8,38,1,2,6,6,10,37,5,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,Hatsu Hioki,"Ivan Menjivar ""The Pride of El Salvador""",3,5:00,Hatsu Hioki,http://ufcstats.com/fight-details/57ab45aa1ebd087e,2014-03-01,0,5,9,16,25,1,3,0,4,0,0,2,4,6,1,1,2,5,3,4,0,0,0,4,11,21,29,0,1,0,0,0,0,2,4,6,1,1,2,5,3,4,0,0,0,5,9,16,25,1,3,0,4,0,4,9,0,1,0,1,2,6,2,4,0,1,0,11,26,23,38,0,0,0,0,0,4,15,4,7,1,1,6,16,2,6,1,1,0,9,23,16,33,2,2,2,4,0,4,15,4,5,3,6,6,19,3,3,2,4,1,12,48,13,50,0,0,1,0,0,8,41,6,11,1,2,15,54,0,0,0,0,0,15,54,20,59,1,1,0,1,0,6,33,4,10,2,5,10,42,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
